"[Info]"
"Product";"Version";"Host";"Timestamp";"Author";"Connection";"Application"
"FngArchiv";"5.0.0";"CTPC06603";"2020-10-30 11:10:18";Manager;"CTPC06603";"Control"
"AdysTech.InfluxDB.Client.Net";"0.6.9.0"
2020-10-27 15:41:33;0.243562427799768;1899-12-30 04:38:56;"";"";"";"";"";17.657102400589;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";8.194;"";"";"";"";"";"";"";"";"";"";-0.531434893608093;"";"";72.2390817762436;"";"";31.7698414213603;"";"";"";"";"";"";"";"";"";"";"";""
2020-10-27 15:42:03;0.243909817298611;1899-12-30 04:39:26;"";"";0;"";"";17.5481084647179;"";"";"";"";"";"";"";"";"";"";"";0;0;0;0;0;0;0;0;0;0;"";"";0;0;"";"";"";8.202;"";"";"";"";"";"";"";0;0;0;-0.287449836730957;"";"";72.2897038697696;"";"";31.8204635148863;"";0;0;0;0;0;"";0;0;0;"";""
2020-10-27 15:42:33;0.244257206797454;1899-12-30 04:39:56;"";"";"";100.094055175781;"";17.6843519809723;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";8.12;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
2020-10-27 15:43:03;0.244604596297454;1899-12-30 04:40:26;"";"";"";"";30;17.9568375515938;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1000;"";8.094;"";"";"";"";"";"";8.80000019073486;"";"";"";"";"";30;72.389232053335;"";"";31.9199916984517;"";"";"";"";"";"";"";"";"";"";"";""
2020-10-27 15:43:33;0.244951985796296;1899-12-30 04:40:56;17425;"";"";"";"";17.6843519809723;"";12.0000002975464;12;"";6;0;0;"";6;"";"";"";"";"";"";"";"";"";"";"";"";"";0;"";"";999.949340820313;"";"";8.156;"";"";"";"";0;"";"";"";"";"";"";"";"";72.4398541468611;3031.88750934601;"";31.9706137919778;"";"";"";"";"";"";"";"";"";"";"";21
2020-10-27 15:44:03;0.245299375295139;1899-12-30 04:41:26;"";"";"";"";"";17.7116000994682;"";"";"";"";"";"";"";"";"";0;0;"";"";"";"";"";"";"";"";"";"";0;"";"";"";"";"";"";8.128;"";"";"";"";"";"";"";"";"";"";-0.272410720586777;29.9953231811523;"";"";"";"";"";14.683690071106;"";"";"";"";"";40.4692403548833;"";"";"";21;""
2020-10-27 15:44:33;0.245646764793981;1899-12-30 04:41:56;"";"";"";"";"";17.5753565832138;12.1647676986694;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";8.17;"";"";"";"";"";"";"";"";"";"";-0.4328932762146;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
2020-10-27 15:45:03;0.245994154292824;1899-12-30 04:42:26;"";4082;"";"";"";17.8750917342186;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";8.019;"";"";"";"";"";8.83248805999756;"";"";"";"";"";"";"";72.5891464223753;"";35.2038192749023;32.119906067492;"";"";"";"";"";"";"";"";"";"";"";""
2020-10-27 15:45:33;0.246341543791667;1899-12-30 04:42:57;"";"";"";"";"";17.6843519809723;"";"";"";6.0000005364418;"";"";"";6.0000005364418;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0.303;8.184;"";"";"";"";"";"";"";"";"";"";"";"";"";72.6397685159012;"";"";32.1705281610179;"";"";"";"";"";"";"";"";"";"";"";""
2020-10-27 15:46:03;0.246688933291667;1899-12-30 04:43:27;"";"";"";"";"";17.8205940353394;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";8.091;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
2020-10-27 15:46:33;0.247036322790509;1899-12-30 04:43:57;"";"";0;"";"";17.6843519809723;"";"";"";"";"";"";"";"";"";"";"";0;0;0;0;0;0;0;0;0;0;"";"";0;0;"";"";"";8.17;"";"";"";"";"";"";"";0;0;0;-0.360580533742905;"";"";72.7392966996328;"";"";32.2700563447496;"";0;0;0;0;0;"";0;0;0;"";""
2020-10-27 15:47:03;0.247383712289352;1899-12-30 04:44:27;"";"";"";100.141098022461;"";17.5481084647179;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";8.041;"";"";"";"";"";"";"";"";"";"";-0.0923648923635483;"";"";72.789918792992;"";"";32.3206784381088;"";"";"";"";"";"";"";"";"";"";"";""
2020-10-27 15:47:33;0.247731101788194;1899-12-30 04:44:57;"";"";"";"";30;17.8205940353394;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1000;"";7.981;"";"";"";"";"";"";8.80000019073486;"";"";"";-0.24075536429882;"";30;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
2020-10-27 15:48:03;0.248078491287037;1899-12-30 04:45:27;17425;"";"";"";"";"";12.1647676986694;12.0000002975464;12;"";6;0;0;"";6;"";"";"";"";"";"";"";"";"";"";"";"";"";0;"";"";1000.08233642578;"";"";8.09;"";"";"";"";0;"";"";"";"";"";-0.37982314825058;"";"";72.8894469767237;3031.88750934601;"";32.4202066218404;"";"";"";"";"";"";"";"";"";"";"";21
2020-10-27 15:48:33;0.248425880787037;1899-12-30 04:45:57;"";"";"";"";"";17.8205940353394;12.1701033119202;"";"";"";"";"";"";"";"";0;0;"";"";"";"";"";"";"";"";"";"";0;"";"";"";"";"";"";8.122;"";"";"";"";"";"";"";"";"";"";-0.529727041721344;30.0014762878418;"";72.9400690700829;"";"";32.4708287151996;14.683690071106;"";"";"";"";"";40.4692403548833;"";"";"";21;""
2020-10-27 15:49:03;0.24877327028588;1899-12-30 04:46:27;"";"";"";"";"";17.6843519809723;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";8.094;"";"";"";"";"";"";"";"";"";"";-0.552449703216553;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
2020-10-27 15:49:33;0.249120659784722;1899-12-30 04:46:57;"";4082;"";"";"";17.6843519809723;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";8.055;"";"";"";"";"";8.84630489349365;"";"";"";"";-0.730662822723389;"";"";73.0395972538146;"";35.2038192749023;32.5703568989313;"";"";"";"";"";"";"";"";"";"";"";""
2020-10-27 15:50:03;0.249468049283565;1899-12-30 04:47:27;"";"";"";"";"";17.8205940353394;"";"";"";6.0000005364418;"";"";"";6.0000005364418;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0.3;8.09;"";"";"";"";"";"";"";"";"";"";-0.10128178447485;"";"";73.0902193473404;"";"";32.6209789924572;"";"";"";"";"";"";"";"";"";"";"";""
2020-10-27 15:50:33;0.249815438782407;1899-12-30 04:47:57;"";"";"";"";"";17.5481084647179;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";8.138;"";"";"";"";"";"";"";"";"";"";-0.867975354194641;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
2020-10-27 15:51:04;0.250173300521991;1899-12-30 04:48:28;"";"";0;"";"";17.5481084647179;"";"";"";"";"";0;0;"";"";"";"";0;0;0;0;0;0;0;0;0;0;"";"";0;0;"";"";"";8.196;"";"";"";"";0;"";"";0;0;0;-0.287762343883514;"";"";73.1914635342255;"";"";32.7222231793422;"";0;0;0;0;0;"";0;0;0;"";""
2020-10-27 15:51:33;0.250513467787037;1899-12-30 04:48:57;"";"";"";99.9882278442383;"";17.6843519809723;"";"";"";"";"";45.8189964294434;45.8189964294434;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";8.22;"";"";"";"";-25.6853103637695;"";"";"";"";"";-0.175538748502731;"";"";73.2403696244313;3031.98697376251;"";32.771129269548;"";"";"";"";"";"";"";"";"";"";"";""
2020-10-27 15:52:03;0.25086085728588;1899-12-30 04:49:27;"";"";"";"";30;17.8205940353394;"";"";"";"";"";0;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1000;"";8.127;"";"";"";"";0;"";8.80000019073486;"";"";"";-0.693761587142944;"";30;"";3032.1041727066;"";"";"";"";"";"";"";"";"";"";"";"";"";""
2020-10-27 15:52:33;0.251208246784722;1899-12-30 04:49:57;17425;"";"";"";"";17.7933459168434;12.1647676986694;12.0000002975464;12;"";6;"";"";"";6;"";"";"";"";"";"";"";"";"";"";"";"";"";0;"";"";999.972290039063;"";"";8.146;"";"";"";"";"";"";"";"";"";"";-0.456535905599594;"";"";73.3407558097397;"";"";32.8715154548564;"";"";"";"";"";"";"";"";"";"";"";21
2020-10-27 15:53:03;0.251555636283565;1899-12-30 04:50:27;"";"";"";"";"";17.657102400589;12.1594320854187;"";"";"";"";"";"";"";"";0;0;"";"";"";"";"";"";"";"";"";"";0;"";"";"";"";"";"";8.26;"";"";"";"";"";"";"";"";"";"";-0.336760640144348;30.0014762878418;"";73.3905199015222;"";"";32.9212795466389;14.683690071106;"";"";"";"";"";40.4692403548833;"";"";"";21;""
2020-10-27 15:53:33;0.251903025782407;1899-12-30 04:50:57;"";"";"";"";"";17.6843519809723;12.1701033119202;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";8.135;"";"";"";"";"";"";"";"";"";"";-0.130360305309296;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
2020-10-27 15:54:03;0.25225041528125;1899-12-30 04:51:27;"";4082;"";"";"";17.6843519809723;12.1701033119202;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";8.241;"";"";"";"";"";8.80577564239502;"";"";"";"";-0.516689300537109;"";"";73.4900480852538;"";35.420482635498;33.0216657319472;"";"";"";"";"";"";"";"";"";"";"";""
2020-10-27 15:54:33;0.25259780478125;1899-12-30 04:51:57;"";"";"";"";"";17.5753565832138;12.1594320854187;"";"";6.0000005364418;"";"";"";6.0000005364418;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0.304;8.212;"";"";"";"";"";"";"";"";"";"";-0.530477404594421;"";"";73.5406701787797;"";"";33.0714298238964;"";"";"";"";"";"";"";"";"";"";"";""
2020-10-27 15:55:03;0.252945194280093;1899-12-30 04:52:27;"";"";"";"";"";17.6843519809723;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";8.124;"";"";"";"";"";"";"";"";"";"";-0.146499410271645;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
2020-10-27 15:55:33;0.253292583778935;1899-12-30 04:52:57;"";"";"";"";"";17.5481084647179;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";8.189;"";"";"";"";"";"";"";"";"";"";-0.244486808776855;"";"";73.6401983625113;"";"";33.1709580076281;"";"";"";"";"";"";"";"";"";"";"";""
2020-10-27 15:56:03;0.253639973277778;1899-12-30 04:53:27;"";"";0;100.164611816406;"";17.8205940353394;"";"";"";"";"";"";"";"";"";"";"";0;0;0;0;0;0;0;0;0;0;"";"";0;0;"";"";"";"";"";"";"";"";"";"";"";0;0;0;-0.34745329618454;"";"";73.6908204558706;"";"";33.2215801009873;"";0;0;0;0;0;"";0;0;0;"";""
2020-10-27 15:56:33;0.25398736277662;1899-12-30 04:53:57;"";"";"";"";30;17.5481084647179;"";"";"";"";"";0;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1000;"";8.19;"";"";"";"";0;"";8.80000019073486;"";"";"";-0.281001150608063;"";30;"";3032.1041727066;"";"";"";"";"";"";"";"";"";"";"";"";"";""
2020-10-27 15:57:03;0.254334752275463;1899-12-30 04:54:27;17425;"";"";"";"";17.5481084647179;"";12.0000002975464;12;"";6;"";"";"";6;"";"";"";"";"";"";"";"";"";"";"";"";"";0;"";"";1000.13110351563;"";"";8.228;"";"";"";"";"";"";"";"";"";"";-0.447704881429672;"";"";73.7903486396022;"";"";33.3211082847189;"";"";"";"";"";"";"";"";"";"";"";21
2020-10-27 15:57:33;0.254682141775463;1899-12-30 04:54:57;"";"";"";"";"";17.7933459168434;"";"";"";"";"";"";"";"";"";0;0;"";"";"";"";"";"";"";"";"";"";0;"";"";"";"";"";"";8.118;"";"";"";"";"";"";"";"";"";"";-0.290975272655487;29.9953231811523;"";73.8409707331281;"";"";33.3717303782448;14.683690071106;"";"";"";"";"";40.4692403548833;"";"";"";21;""
2020-10-27 15:58:04;0.255029531274306;1899-12-30 04:55:27;"";"";"";"";"";17.5481084647179;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";8.18;"";"";"";"";"";"";"";"";"";"";-0.267172336578369;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
2020-10-27 15:58:34;0.255376920773148;1899-12-30 04:55:57;"";4082;"";"";"";17.5753565832138;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";8.162;"";"";"";"";"";8.82005310058594;"";"";"";"";-0.480359315872192;"";"";73.9404989166931;"";35.420482635498;33.4712585618098;"";"";"";"";"";"";"";"";"";"";"";""
2020-10-27 15:59:04;0.255724310271991;1899-12-30 04:56:27;"";"";"";"";"";17.8205940353394;12.1594320854187;"";"";6.0000005364418;"";"";"";6.0000005364418;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0.3;8.104;"";"";"";"";"";"";"";"";"";"";-0.315349459648132;"";"";73.9911210102189;"";"";33.5218806553357;"";"";"";"";"";"";"";"";"";"";"";""
2020-10-27 15:59:34;0.256071699770833;1899-12-30 04:56:57;"";"";"";"";"";17.5481084647179;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";8.205;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
2020-10-27 16:00:04;0.256419089269676;1899-12-30 04:57:27;"";"";"";"";"";17.7116000994682;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";8.139;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
2020-10-27 16:00:34;0.256766478769676;1899-12-30 04:57:57;"";"";0;99.9882278442383;"";17.6843519809723;"";"";"";"";"";"";"";"";"";"";"";0;0;0;0;0;0;0;0;0;0;"";"";0;0;"";"";"";8.159;"";"";"";"";"";"";"";0;0;0;"";"";"";74.1404132857331;"";"";33.6711729308498;"";0;0;0;0;0;"";0;0;0;"";""
2020-10-27 16:01:04;0.257113868268519;1899-12-30 04:58:27;"";"";"";"";30;17.6843519809723;"";"";"";"";"";0;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1000;"";8.15;"";"";"";"";0;"";8.80000019073486;"";"";"";-0.448103040456772;"";30;74.1910353792589;3032.1041727066;"";33.7217950243757;"";"";"";"";"";"";"";"";"";"";"";""
2020-10-27 16:01:34;0.257461257767361;1899-12-30 04:58:57;17425;"";"";"";"";17.5481084647179;"";12.0000002975464;12;"";6;"";"";"";6;"";"";"";"";"";"";"";"";"";"";"";"";"";0;"";"";1000.08618164063;"";"";8.168;"";"";"";"";"";"";"";"";"";"";-0.0840426832437515;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";21
2020-10-27 16:02:04;0.257808647266204;1899-12-30 04:59:27;"";"";"";"";"";17.5481084647179;"";"";"";"";"";"";"";"";"";0;0;"";"";"";"";"";"";"";"";"";"";0;"";"";"";"";"";"";8.196;"";"";"";"";"";"";"";"";"";"";-0.490993916988373;30.0014762878418;"";74.2905635629906;"";"";33.8213232081073;14.683690071106;"";"";"";"";"";40.4692403548833;"";"";"";21;""
2020-10-27 16:02:34;0.258156036765046;1899-12-30 04:59:57;"";"";"";"";"";17.3846168299675;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";8.07;"";"";"";"";"";"";"";"";"";"";-0.68327122926712;"";"";74.3411856563498;"";"";33.8719453014665;"";"";"";"";"";"";"";"";"";"";"";""
2020-10-27 16:03:04;0.258503426265046;1899-12-30 05:00:27;"";4082;"";"";"";17.6843519809723;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";8.067;"";"";"";"";"";8.83340930938721;"";"";"";"";-0.237341493368149;"";"";"";"";35.420482635498;"";"";"";"";"";"";"";"";"";"";"";"";""
2020-10-27 16:03:34;0.258850815763889;1899-12-30 05:00:57;"";"";"";"";"";17.6843519809723;12.1647676986694;"";"";6.0000005364418;"";"";"";6.0000005364418;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0.304;8.209;"";"";"";"";"";"";"";"";"";"";-0.333809286355972;"";"";74.4407138400815;"";"";33.9714734851982;"";"";"";"";"";"";"";"";"";"";"";""
2020-10-27 16:04:04;0.259198205262731;1899-12-30 05:01:27;"";"";"";"";"";17.5753565832138;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";8.225;"";"";"";"";"";"";"";"";"";"";-0.0319321490824223;"";"";74.4913359334407;"";"";34.0220955785574;"";"";"";"";"";"";"";"";"";"";"";""
2020-10-27 16:04:34;0.259545594761574;1899-12-30 05:01:57;"";"";"";"";"";17.7116000994682;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";8.245;"";"";"";"";"";"";"";"";"";"";0.000297874212265015;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
2020-10-27 16:05:04;0.259892984260417;1899-12-30 05:02:27;"";"";0;100.117576599121;"";17.6843519809723;"";"";"";"";"";"";"";"";"";"";"";0;0;0;0;0;0;0;0;0;0;"";"";0;0;"";"";"";8.176;"";"";"";"";"";"";"";0;0;0;-0.294843465089798;"";"";"";"";"";"";"";0;0;0;0;0;"";0;0;0;"";""
2020-10-27 16:05:34;0.260240373759259;1899-12-30 05:02:57;"";"";"";"";30;"";"";"";"";"";"";0;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1000;"";8.1;"";"";"";"";0;"";8.80000019073486;"";"";"";-0.391136586666107;"";30;74.6406282091215;3032.1041727066;"";34.1713878542382;"";"";"";"";"";"";"";"";"";"";"";""
2020-10-27 16:06:04;0.26058956881713;1899-12-30 05:03:28;17425;"";"";"";"";"";"";12.0000002975464;12;"";6;"";"";"";6;"";"";"";"";"";"";"";"";"";"";"";"";"";0;"";"";999.935485839844;"";"";8.09;"";"";"";"";"";"";"";"";"";"";-0.212923616170883;"";"";74.6912503024807;"";"";34.2220099475974;"";"";"";"";"";"";"";"";"";"";"";21
2020-10-27 16:06:34;0.26093695831713;1899-12-30 05:03:58;17425;"";"";"";"";17.6843519809723;"";"";"";"";"";"";"";"";"";0;0;"";"";"";"";"";"";"";"";"";"";0;"";"";"";"";"";"";8.076;"";"";"";"";"";"";"";"";"";"";-0.504381477832794;30.0014762878418;"";"";"";"";"";14.683690071106;"";"";"";"";"";40.4692403548833;"";"";"";21;""
2020-10-27 16:07:04;0.261284347815972;1899-12-30 05:04:28;17420;"";"";"";"";17.7116000994682;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";8.181;"";"";"";"";"";"";"";"";"";"";"";"";"";74.7916364877891;"";"";34.3223961329058;"";"";"";"";"";"";"";"";"";"";"";""
2020-10-27 16:07:34;0.261631737314815;1899-12-30 05:04:58;17425;4082;"";"";"";17.5481084647179;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";8.265;"";"";"";"";"";8.84630489349365;"";"";"";"";"";"";"";74.8414005795716;"";35.420482635498;34.3721602246883;"";"";"";"";"";"";"";"";"";"";"";""
2020-10-27 16:08:04;0.261979126813657;1899-12-30 05:05:28;"";"";"";"";"";17.8205940353394;12.1647676986694;"";"";6.0000005364418;"";"";"";6.0000005364418;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0.304;8.217;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
2020-10-27 16:08:34;0.2623265163125;1899-12-30 05:05:58;"";"";"";"";"";17.5481084647179;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";8.153;"";"";"";"";"";"";"";"";"";"";-0.424251943826675;"";"";74.9417867648799;"";"";34.4725464099966;"";"";"";"";"";"";"";"";"";"";"";""
2020-10-27 16:09:04;0.262673905811343;1899-12-30 05:06:28;"";"";"";"";"";17.6843519809723;12.1647676986694;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";8.283;"";"";"";"";"";"";"";"";"";"";-0.278677314519882;"";"";74.9915508568291;3032.1041727066;"";34.5223105019458;"";"";"";"";"";"";"";"";"";"";"";""
2020-10-27 16:09:34;0.263021295311343;1899-12-30 05:06:58;"";"";0;100.094055175781;"";17.6843519809723;12.1594320854187;"";"";"";"";"";"";"";"";"";"";0;0;0;0;0;0;0;0;0;0;"";"";0;0;"";"";"";8.106;"";"";"";"";"";"";"";0;0;0;-0.731225848197937;"";"";"";3032.23714542389;"";"";"";0;0;0;0;0;"";0;0;0;"";""
2020-10-27 16:10:04;0.263368684810185;1899-12-30 05:07:28;"";"";"";"";30;17.7116000994682;"";"";"";"";"";0;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1000;"";8.126;"";"";"";"";0;"";8.80000019073486;"";"";"";-0.294405788183212;"";30;75.0910790405607;"";"";34.6218386856775;"";"";"";"";"";"";"";"";"";"";"";""
2020-10-27 16:10:34;0.263716074309028;1899-12-30 05:07:58;"";"";"";"";"";17.629854282093;"";12.0000002975464;12;"";6;"";"";"";6;"";"";"";"";"";"";"";"";"";"";"";"";"";0;"";"";1000.06365966797;"";"";8.181;"";"";"";"";"";"";"";"";"";"";"";"";"";75.14170113392;"";"";34.6724607790367;"";"";"";"";"";"";"";"";"";"";"";21
2020-10-27 16:11:04;0.26406346380787;1899-12-30 05:08:28;"";"";"";"";"";17.5481084647179;"";"";"";"";"";"";"";"";"";0;0;"";"";"";"";"";"";"";"";"";"";0;"";"";"";"";"";"";8.152;"";"";"";"";"";"";"";"";"";"";-0.346691608428955;29.9953231811523;"";"";"";"";"";14.683690071106;"";"";"";"";"";40.4692403548833;"";"";"";21;""
2020-10-27 16:11:34;0.264410853306713;1899-12-30 05:08:58;"";"";"";"";"";17.6843519809723;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";8.14;"";"";"";"";"";"";"";"";"";"";-0.59801572561264;"";"";75.2412293176516;"";"";34.7719889627683;"";"";"";"";"";"";"";"";"";"";"";""
2020-10-27 16:12:04;0.264758242805556;1899-12-30 05:09:28;17425;4082;"";"";"";17.7660977983475;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";8.141;"";"";"";"";"";8.81682872772217;"";"";"";"";-0.220129385590553;"";"";75.2918514111775;"";35.6201705932617;34.8226110562942;"";"";"";"";"";"";"";"";"";"";"";""
2020-10-27 16:12:34;0.265105632305556;1899-12-30 05:09:58;"";"";"";"";"";17.5481084647179;"";"";"";6.0000005364418;"";"";"";6.0000005364418;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0.306;8.251;"";"";"";"";"";"";"";"";"";"";-0.192846104502678;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
2020-10-27 16:13:04;0.265453021804398;1899-12-30 05:10:28;"";"";"";"";"";17.7933459168434;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";8.251;"";"";"";"";"";"";"";"";"";"";-0.362174242734909;"";"";75.3913795947425;"";"";34.9221392398592;"";"";"";"";"";"";"";"";"";"";"";""
2020-10-27 16:13:34;0.265800411303241;1899-12-30 05:10:58;"";"";"";"";"";17.5753565832138;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";8.173;"";"";"";"";"";"";"";"";"";"";"";"";"";75.4420016882683;"";"";34.9727613333851;"";"";"";"";"";"";"";"";"";"";"";""
2020-10-27 16:14:04;0.266147800802083;1899-12-30 05:11:28;"";"";0;100.070541381836;"";17.8205940353394;12.1647676986694;"";"";"";"";"";"";"";"";"";"";0;0;0;0;0;0;0;0;0;0;"";"";0;0;"";"";"";8.127;"";"";"";"";"";"";"";0;0;0;-0.364254623651505;"";"";"";3032.30386066437;"";"";"";0;0;0;0;0;"";0;0;0;"";""
2020-10-27 16:14:34;0.266495190300926;1899-12-30 05:11:58;"";"";"";"";30;17.5753565832138;"";"";"";"";"";0;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1000;"";8.175;"";"";"";"";0;"";8.80000019073486;"";"";"";-0.402610182762146;"";30;75.541529872;"";"";35.0722895171167;"";"";"";"";"";"";"";"";"";"";"";""
2020-10-27 16:15:04;0.266842579800926;1899-12-30 05:12:28;"";"";"";"";"";17.5481084647179;"";12.0000002975464;12;"";6;"";"";"";6;"";"";"";"";"";"";"";"";"";"";"";"";"";0;"";"";999.932739257813;"";"";8.111;"";"";"";"";"";"";"";"";"";"";-0.150897681713104;"";"";75.5921519653592;"";"";35.1229116104759;"";"";"";"";"";"";"";"";"";"";"";21
2020-10-27 16:15:34;0.267189969299769;1899-12-30 05:12:58;"";"";"";"";"";17.5753565832138;12.1647676986694;"";"";"";"";"";"";"";"";0;0;"";"";"";"";"";"";"";"";"";"";0;"";"";"";"";"";"";8.116;"";"";"";"";"";"";"";"";"";"";-0.255121558904648;30.0014762878418;"";"";"";"";"";14.683690071106;"";"";"";"";"";40.4692403548833;"";"";"";21;""
2020-10-27 16:16:04;0.267537358798611;1899-12-30 05:13:28;"";"";"";"";"";17.5753565832138;12.1594320854187;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";8.166;"";"";"";"";"";"";"";"";"";"";-0.245305866003036;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
2020-10-27 16:16:34;0.267884748297454;1899-12-30 05:13:58;17425;4082;"";"";"";17.7116000994682;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";8.237;"";"";"";"";"";8.83064556121826;"";"";"";"";-0.436464816331863;"";"";75.74144424104;"";35.6201705932617;35.2722038861567;"";"";"";"";"";"";"";"";"";"";"";""
